1, 2018-06-15, Electricity Bill, 84445, 79579
2, 2018-06-05, Plumber Salary, ADO 312, 3000
3, 2018-06-06, Sreenu Salary, ADO 313, 3000
4, 2018-06-09, Garbage Removal, ADO 316, 5000
5, 2018-06-05, Maid 1 Salary, Cheque 251, 8500
6, 2018-06-05, Maid 2 Salary, Cheque 251, 8500
7, 2018-06-05, Supervisor Salary, Cheque 251, 18500
8, 2018-05-31, STP Salary, 077, 28000
9, 2018-05-16, Generator Diesel, 4214, 15125
10, 2018-05-14, Cleaning Material, NA, 3015
11, 2018-05-31, Security Salary, SKS/AD/37, 54280
12, 2018-06-01, Swimming Pool Maintenance, Cheque  253, 8260
13, 2018-05-15, Lights(5), NA, 900
14, 2018-05-16, Light Holder, NA, 450
15, 2018-05-19, STP lime powder, 40652, 546
16, 2018-05-23, Lock, NA, 960
17, 2018-05-17, Brass Cutter A block Borewell, NA, 650
18, 2018-05-22, Police, ADO 309, 500
19, 2018-05-25, Grass Cutting Machine Repair, ADO 311, 650
20, 2018-05-24, GYM Service, ADO 310, 2800
21, 2018-05-20, Entry Exit Boards, NA, 7040
22, 2018-06-06, Sledge Tankers, ADO 306, 8800
23, 2018-06-06, RO Maintenance, ADO 314, 4200
24, 2018-06-08, Intercomm, ADO 315, 3800
25, 2018-06-15, Bescom ASD, 84446, 7310
